work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,job_type,company_location,company_size
2020,Mid,Full_Time,Data Scientist,79833,Germany,onsite,Germany,Large
2020,Senior,Full_Time,Machine Learning Scientist,260000,Japan,onsite,Japan,Small
2020,Senior,Full_Time,Big Data Engineer,109024,United Kingdom,hybrid,United Kingdom,Medium
2020,Mid,Full_Time,Product Data Analyst,20000,Honduras,onsite,Honduras,Small
2020,Senior,Full_Time,Machine Learning Engineer,150000,United States,hybrid,United States,Large
2020,Entry,Full_Time,Data Analyst,72000,United States,remote,United States,Large
2020,Senior,Full_Time,Lead Data Scientist,190000,United States,remote,United States,Small
2020,Mid,Full_Time,Data Scientist,35735,Hungary,hybrid,Hungary,Large
2020,Mid,Full_Time,Business Data Analyst,135000,United States,remote,United States,Large
2020,Senior,Full_Time,Lead Data Engineer,125000,New Zealand,hybrid,New Zealand,Small
2020,Entry,Full_Time,Data Scientist,51321,France,onsite,France,Small
2020,Mid,Full_Time,Data Scientist,40481,India,onsite,India,Large
2020,Entry,Full_Time,Data Scientist,39916,France,onsite,France,Medium
2020,Mid,Full_Time,Lead Data Analyst,87000,United States,remote,United States,Large
2020,Mid,Full_Time,Data Analyst,85000,United States,remote,United States,Large
2020,Mid,Full_Time,Data Analyst,8000,Pakistan,hybrid,Pakistan,Large
2020,Entry,Full_Time,Data Engineer,41689,Japan,remote,Japan,Small
2020,Senior,Full_Time,Big Data Engineer,114047,Poland,remote,United Kingdom,Small
2020,Entry,Full_Time,Data Science Consultant,5707,India,hybrid,India,Medium
2020,Mid,Full_Time,Lead Data Engineer,56000,Portugal,remote,United States,Medium
2020,Mid,Full_Time,Machine Learning Engineer,43331,China,onsite,China,Medium
2020,Mid,Full_Time,Product Data Analyst,6072,India,remote,India,Large
2020,Senior,Full_Time,Data Engineer,47899,Greece,hybrid,Greece,Large
2020,Mid,Full_Time,BI Data Analyst,98000,United States,onsite,United States,Medium
2020,Mid,Full_Time,Lead Data Scientist,115000,United Arab Emirates,onsite,United Arab Emirates,Large
2020,Executive,Full_Time,Director of Data Science,325000,United States,remote,United States,Large
2020,Entry,Full_Time,Research Scientist,42000,Netherlands,hybrid,Netherlands,Large
2020,Senior,Full_Time,Data Engineer,33511,Mexico,onsite,Mexico,Small
2020,Entry,Contract,Business Data Analyst,100000,United States,remote,United States,Large
2020,Senior,Full_Time,Machine Learning Manager,117104,Canada,hybrid,Canada,Large
2020,Mid,Full_Time,Data Engineering Manager,59303,Germany,remote,Germany,Small
2020,Entry,Full_Time,Big Data Engineer,70000,United States,remote,United States,Large
2020,Senior,Full_Time,Data Scientist,68428,Greece,remote,United States,Large
2020,Mid,Full_Time,Research Scientist,450000,United States,onsite,United States,Medium
2020,Mid,Full_Time,Data Analyst,46759,France,hybrid,France,Large
2020,Mid,Full_Time,Data Engineer,74130,Austria,hybrid,Austria,Large
2020,Mid,Full_Time,Data Science Consultant,103000,United States,remote,United States,Large
2020,Entry,Full_Time,Machine Learning Engineer,250000,United States,hybrid,United States,Large
2020,Entry,Full_Time,Data Analyst,10000,Nigeria,remote,Nigeria,Small
