Country/Territory,Total Deaths
China,265408106
India,238158165
United States,71197802
Russia,59591155
Indonesia,44046941
Nigeria,43670014
Pakistan,38151878
Brazil,32674112
Japan,31922807
Germany,25559667
Bangladesh,24803502
Ukraine,21245451
Ethiopia,20880668
Democratic Republic of Congo,17446538
United Kingdom,17281600
Italy,16779302
South Africa,15807129
Mexico,15720801
France,15093782
Egypt,14878359
Vietnam,14444650
Philippines,13680040
Myanmar,13486764
Thailand,11358484
Tanzania,11195695
Poland,11173480
Spain,10888774
Turkey,10748951
Iran,9278362
Kenya,8605263
Uganda,8575533
Argentina,8552888
Romania,7883515
South Korea,7540359
Mozambique,7045726
North Korea,7029044
Canada,6534938
Sudan,5986750
Afghanistan,5982631
Colombia,5849272
Cote d'Ivoire,5732265
Uzbekistan,5581614
Morocco,5574036
Ghana,5448868
Angola,5366718
Nepal,5159447
Cameroon,5155974
Mali,4932833
Niger,4891553
Burkina Faso,4869268
Malawi,4681530
Algeria,4601205
Kazakhstan,4526448
Madagascar,4485733
Iraq,4248735
Zambia,4110709
Taiwan,4105623
Yemen,4088624
Somalia,4042753
Hungary,4025329
Netherlands,3929990
Australia,3889556
Belarus,3856108
Peru,3803706
Bulgaria,3714519
Venezuela,3697746
Chad,3554423
Sri Lanka,3479255
Malaysia,3387621
Serbia,3366448
Czechia,3253307
Cambodia,3177198
Guinea,3138945
Greece,3124015
Portugal,3090408
Rwanda,3070775
Belgium,3006741
Burundi,2807113
Haiti,2791937
Sweden,2645896
Saudi Arabia,2626923
Chile,2591836
Senegal,2489411
Cuba,2422450
Guatemala,2337809
Syria,2322242
South Sudan,2293162
Austria,2290891
Benin,2170343
Ecuador,2059371
Azerbaijan,2028238
Sierra Leone,1967352
Central African Republic,1875279
Bolivia,1832360
Switzerland,1805382
Denmark,1619397
Georgia,1611980
Slovakia,1576884
Dominican Republic,1550151
Tunisia,1525867
Croatia,1519071
Togo,1457783
Finland,1453213
Laos,1414509
Moldova,1412599
Papua New Guinea,1349157
Tajikistan,1335833
Eritrea,1273196
Lithuania,1217385
Norway,1205649
Honduras,1133218
Kyrgyzstan,1118630
Israel,1087929
Congo,1060983
El Salvador,1021357
Bosnia and Herzegovina,1016460
Liberia,968040
Latvia,929223
Lesotho,924731
Turkmenistan,919328
Uruguay,905972
Ireland,861097
Puerto Rico,854186
New Zealand,819244
Armenia,783174
Lebanon,744775
Paraguay,701474
Nicaragua,670896
Botswana,652059
Mongolia,643715
Libya,629916
North Macedonia,611955
Mauritania,610294
Namibia,569907
Slovenia,555608
Jordan,535858
Albania,523545
Estonia,511674
Singapore,488771
Costa Rica,485855
Jamaica,457508
Guinea-Bissau,436105
Panama,418150
Palestine,411257
Eswatini,387046
United Arab Emirates,372629
Gabon,343584
Gambia,336487
Oman,304947
Trinidad and Tobago,282433
Mauritius,252727
Cyprus,198852
Timor,198600
Equatorial Guinea,198005
Guyana,183493
Djibouti,178312
Kuwait,173735
Montenegro,173610
Fiji,171689
Comoros,148274
Solomon Islands,139389
Bhutan,119148
Luxembourg,109716
Suriname,93959
Malta,89154
Cape Verde,81419
Bahrain,75941
Barbados,69613
Qatar,67331
Bahamas,56965
Iceland,53199
Vanuatu,46023
Belize,38672
Brunei,36804
Samoa,34510
Maldives,32937
Sao Tome and Principe,29986
Kiribati,29939
Saint Lucia,29352
United States Virgin Islands,27512
Micronesia,24537
Saint Vincent and the Grenadines,23445
Guam,23062
Grenada,21108
Dominica,20350
Seychelles,19081
Tonga,17580
Monaco,14591
Antigua and Barbuda,14265
Bermuda,13810
Greenland,12804
Andorra,12532
Saint Kitts and Nevis,12181
Marshall Islands,10186
American Samoa,8619
Northern Mariana Islands,7827
San Marino,6761
Palau,4814
Cook Islands,3999
Tuvalu,2962
Nauru,2249
Niue,591
Tokelau,299
